Name,Description
Togekiss,"Togekiss is a white, avian Pokémon with an ovoid body. While its feet are small and situated closely together, its wings are broad and triangular. Red and blue triangular markings over its underside, and it has a short tail consisting of three feathers. On the back of its head are three spikes: a red-tipped one on the right, a blue-tipped one on the left, and a pure white one in the middle. Togekiss has a relatively flat face and small, black eyes."
Yanmega,"Yanmega is a large, dark green dragonfly Pokémon. Its large eyes are red with black lines that make a sideways ""T"" shape in each one. It has two large, white fangs or mandibles next to its small mouth. Its immense jaw power allows it to bite apart foes while flying by at high speed. Each of Yanmega's segments has a red spot on them, while the last tail segment has a black triangular plate. It has two similar plates on the back of its thorax and a third on its head. Yanmega has six black thin legs. It has four white, oval wings with red tips, and there are two smaller white wings on the end of its tail."
Leafeon,"Leafeon is a mammalian, quadrupedal Pokémon. Its body is tan with dark brown paws. It has a multitude of small green sprouts growing all over its legs, chest, and back, with the longest one on its head, in front of four tan tufts of fur. Leafeon's green ears and tail resemble tattered leaves. It has brown eyes and a small, brown nose."
Glaceon,"Glaceon is a quadrupedal, mammalian Pokémon covered in light-blue fur. It has long, pointed ears, dark eyes, and a small nose. A teal crest with two dangling flaps adorns its head, resembling hair or headgear. Glaceon has two dark blue, rhombus-shaped markings on its back; the tip of its tail, feet, and flaps are the same shade of blue."
Gliscor,"Gliscor is a large, mainly blue-purple vampire bat-like Pokémon, partially clad in an insect-like carapace. Its legs have two toes and a slightly darker circular coloration on the underside, and its tail has two barbs, giving its tail the resemblance of a vampire's fangs. Its arms are red with thin striations and are completely detached from its black wings, and each is ended with large pincers. Its ears have discernible, red, chambered ear insides, and its eyes are yellow. It has six visible fangs in its mouth, and its waist, like its arms, is red and striated. Gliscor's body resembles an open mouth, with the pointed protrusions coming from its upper torso resembling fangs, further illustrating its vampiric qualities. It has a tendency to hang upside down from trees while watching its prey."
Mamoswine,"Mamoswine is a large, quadrupedal Pokémon resembling a wooly mammoth crossed with a boar. Its brown fur is very thick to endure harsh cold and protect from snow and ice. Its tusks, which are smaller on a female Mamoswine than on a male, are made of pure, solid ice. Mamoswine has a blue mask-like pattern with a white rim around its face and eyes, resembling ski goggles. The fur on its muzzle is tan and shaggy, and its nose resembles that of a pig. Mamoswine's feet are black with three thick toes, and its tail is small."
Porygon-Z,"Although technically a virtual, manmade Pokémon, Porygon-Z does have a physical body. Its head is fuchsia and ovoid in shape with a short, blunt antenna protruding upwards and a blue bill similar to that of a duck. Its eyes are yellow and have black rings, similar to a bulls-eye. The head is completely detached from the body and floats slightly above it. Its smooth, ovoid body is fuchsia with a blue ring connecting its arms. Two arms are loosely connected to their upper body and, other than their blue color, have no features. The tail is also blue and featureless but slightly resembles a paddle."
Gallade,"Gallade is a white, bipedal, bishōnen-like Pokémon. Its lower body consists of rounded hips with strong legs. It has a thin green torso with sharp, red horns sticking out of its chest and back. Its arms resemble tonfas with extendable, blade-like elbows. Its head resembles a gladiator's helmet with a white face, red eyes, and a teal head crest. It has spikes on the sides of its face."
Probopass,"Probopass is a mostly blue, rock-like Pokémon. It has small round eyes, a red nose that is large in proportion to its body, and a bushy black mustache that consists of iron sand, which appears to be attracted by its magnetic nose. Probopass has three small objects on its sides and back, called Mini-Noses (Japanese: チビノーズ Chibinose), which it is able to control. It has a big red hat-like magnet on top of its head, and exudes strong magnetism from all over its body."
Dusknoir,"Dusknoir is a primarily black Pokémon that somewhat resembles a cyclops. Its cylindrical head is light gray with a single eye that has a yellow iris and a red pupil. Its eyelid resembles a smiling mouth, with its red eye being a tongue. There is a yellow band near the top of its head, and a short, yellow antenna with a disc-shaped tip extends from on top. Six flat projections extend from the base of its neck and surround its head, resembling an upturned collar. Dusknoir has well-developed arms with two yellow bands near its wrists and large, gray hands. On the front of its torso are two almond-shaped markings, and on its back are two circular markings. Both sets of markings resemble eyes. A yellow band encircles its body, zigzagging along the front and forming a long curve around the back. It has a wispy tail in place of feet."
Froslass,"Froslass is a humanoid Pokémon with a hollow torso that resembles a kimono. It wears a red band around its waist, reminiscent of an Obi. Its body lacks feet and it floats in the air like its counterpart, Glalie. Its arms are connected to the sides of its head and flare at the wrists. The flared portion has a dappled light blue coloration. Its hands consist of three small fingers. Froslass's head is shaped similar to a sideways water droplet and is topped with two ice crystals that resemble horns. Its head has several holes on it, resembling a mask. Through two of these holes, crystal blue eyes with yellow sclerae can be seen. It also has a mouth below this ""mask""."
Rotom,"Rotom is a small, orange Pokémon that has a body of plasma. It is mostly spherical, with a bulb below its body and a long pointed protrusion on top, making it shaped like a lightning rod. There is a whitish blue aura of electricity around it that forms lightning bolt-shaped appendages. When moving quickly, these appendages tend to disappear, in favor of a long similar-looking trail of blue electricity. It has teeth, and its unique, blue eyes have a dividing line across them. In its base form, Rotom cannot be touched by anyone without the latter being shocked in the process. According to the Rotom Catalog, Rotom in its base form is possessing a light bulb. Rotom lack any sort circulatory system or pulse.[1]"
Uxie,"Uxie is a small, gray, fairy-like Pokémon with two gray tails that are each encrusted with a red gem. Uxie has a partially yellow face with another red gem encrusted into its forehead. Its head faintly resembles that of a helmet or a human brain.
Uxie always has its eyes closed, as it can wipe out the memory of those who see its eyes."
Mesprit,"Mesprit is a small, gray, fairy-like Pokémon. It has two tails that each have a red jewel encrusted in them. These are, presumably, two of the jewels which comprise the Red Chain. Mesprit has a partially magenta face with four long, drooping appendages and another red gem encrusted in its forehead."
Azelf,"Azelf is a small, gray-blue, fairy-like Pokémon. It has two tails that each have a red jewel on them. These are, presumably, two of the jewels which complement the Red Chain. Azelf has a partially cyan face with another red gem encrusted into its forehead. Azelf has a cone-shaped head with elf ear-like protrusions on each side."
Dialga,"Dialga is a dark-blue, sauropod-like Pokémon with some gray metallic portions and light blue stripes. It has a chest plate on its torso, which has a deep blue diamond-like crystal embedded in the center. Dialga has a fin-like structure on its back, three spines on the back of its neck, and a crest on its head, resembling a dinosaur. The crest somewhat resembles the shape of a sundial's rod. It also has two structures on the sides of its head that extend outward and resemble horns and fangs. It has three claws on each foot, of the same metallic look as its chest plate. Faint cracks exist across its body. The fin-like structure on its back is shaped radiating outwards and can be used to focus the flow of time, as seen in the Mystery Dungeon series. Rather than walking on all fours, Dialga usually travels by levitation."
Palkia,"Palkia is a light-purple, theropod-like Pokémon with stripes and markings of a darker shade and gray underarms and waist. It has round purple-striped plates on its shoulder area, where two pink pearl-like crystals lie encrusted with a gray rim encircling them, and fin-like wings on its back. Palkia's arms have extended formations resembling gauntlets and a purple band around each wrist. Palkia has a long neck that is normally bent, a pointed white crest on the top of its head that extends to its wings, two strong horn-like tusks on the sides of its jaw, and a powerful tail. It has faint cracks along its legs and tail. As seen in Mystery Dungeon series, Palkia is capable of travelling by creating a large yellow sphere from its two pearls, then using it to fly very fast. In The Rise of Darkrai, Palkia is shown to be capable of levitating in the same manner as Dialga and Arceus."
Heatran,"Heatran is a reddish-brown, quadrupedal Pokémon. It is dotted with orange and gray spots, and it has metal bangles locked on its legs. Its four claws on each of its feet are in a cross formation. Heatran has a gray underside, and its face is covered by an iron mask, with red-orange eyes uncovered. Its eyes seem to remain open even when it is asleep. Whenever it is seen with its mouth open, an orange glow emanates from inside it. Boiling magma-like blood circulates through its body. While its body is rugged steel, certain parts of it are partially melted, due to Heatran's own intense body heat."
Regigigas,"Regigigas is a large, white, golem-like Pokémon. It has large yellow bands on its shoulders and wrists, and a yellow sloping section on its chest that appears to be its head. This section contains seven black circular ""eyes"" arranged in a specific pattern. The pattern is Regigigas's way of showing its anger; its eyes glow red when it is provoked. It has six spots that are apart from its eyes, which appear to be gemstones. These gemstones seem to represent the original three legendary giants, with red gems representing Regirock, blue gems indicating Regice, and silver gems representing Registeel. Regigigas has long arms, with three fairly human-like white fingers, and short legs. Its body is covered in black stripes, and it has large bushes of moss growing in its back and feet."
Giratina,"Giratina is a large gray draconic Pokémon with three gold half-rings on each side of its long neck. Its head has a gold crown-like object surrounding it with two large horns pointing sideways. A thick black stripe runs vertically along its front with five red horizontal stripes. In its Altered Forme, it has two large black ghostly wings with three red tips on each that can resemble claws. These wings can change shape as if made of a liquid or gas. Its six legs are thick and have golden claws. Two golden half-circles similar to those on its neck are on each side of each leg, resembling shackles. It has a tail with two band-like markings. Giratina remains in its Altered Forme when outside of its home dimension. It generally moves by levitating itself in the air, as opposed to walking on its six legs."
Cresselia,"Cresselia is a Pokémon that has a blue, swan-like body with a yellow underside. It has pink eyes, a dark pink, round tuft on its head, and a pointed, beak-like snout. There are yellow, crescent-shaped ornaments on the sides of its head that merge in the back. It has a pointed, tail-like protrusion on its rear. Cresselia has glowing, pink, ring-like wings on its sides and back. The wings on its sides are solid dark pink, while the wing on its back is larger and consists of three shades of pink. These wings, especially its back wing, release shining particles and undulate beautifully around the quarter moon. It has paw-like protrusions resting on its chest. Cresselia generally floats in the air, but may rest on the floor when it is injured."
Phione,"Phione is a blue Pokémon with a round head and a tiny body. Phione's head is crowned by a flotation sac with a long, ribbon-like antenna. Its mouth is small, and its eyes are large with blue sclerae and gray irises. Above its eyes are two blue, circular markings connected to the eyes by a thin black line. Its long, flipper-like arms have rounded tips. Phione has a red, oval gem on its chest and a single rudimentary foot spike."
Manaphy,"Manaphy is a small, blue, aquatic Pokémon with stubby feet and club-like arms that are longer than its body. It has a red gem on its chest and a yellow dot below the gem. Its onion-shaped head has a pair of long blue antennae, which have small spheres on the ends. Its irises are dark blue with yellow sclerae, and there are two yellow dots of ""eyelash"" markings extending from the eyes."
Darkrai,"Darkrai is a black, shadow-like Pokémon. It has a small head with a white fog-like ghostly plume billowing from its head covering one of its bright blue eyes, with the portion on its face resembling hair. It also has a red spiky growth around its neck. It has skinny arms and long black tatters hanging from its shoulders. It also has black, claw-like hands. It has the slight appearance of an hourglass figure and appears to be wearing an old, ripped cloak. It normally does not have any sort of legs, but it is able to extend stilt-like appendages in their place. In self-defense, Darkrai can retract its head and white ""plume"" into the pit atop its torso fringed by the aforementioned red growth."
Shaymin,"Shaymin is a small, white hedgehog-like Pokémon. In Land Forme, it has green grass-like fur on its back and a pink flower with two leaves on each side of its head, which resembles the Gracidea flower. More flowers appear on its back whenever it feels comfortable, but when it senses danger, it rapidly hides them again. Its legs are short and its underside is plump. Shaymin is the smallest Mythical Pokémon to date, and one of the shortest Grass-type Pokémon."
Arceus,"Arceus is a white, equine Pokémon with an androgynous appearance. It resembles a qilin or centaur with a gray, vertically-striated underside. The striated pattern has similar recurrences on the underside of its mane, tail, and face. Its four pointed feet are tipped with gold hooves. Its long mane juts away from its head, and its face is gray, with green eyes and red pupils, and a green circular pattern below its eyes. Arceus also has a streak of gold coloration on its head and ears that point upward. Its neck is fairly long, with two pairs of extrusions to the sides, and a flap-like feature on the neck's underside that is colored white like much of the body. Arceus also has a golden cross-like wheel attached to its body by its round abdomen, which changes color along with its eyes and hooves based on its current type, which depends on the Plate or type-specific Z-Crystal that it wields. The wheel also has four jewels attached to it. The pattern of striated gray of Arceus's underbelly resumes past Arceus's waist. Its limbs have gray undersides and extrusions at the tops of the legs. Arceus's tail is fairly like its mane in terms of shape and coloration. Despite its quadruped appearance, Arceus is capable of flight."
Victini,"Victini is a small, rabbit-like Pokémon with large, pointed ears which form the letter V. It has large, blue eyes and a round, cream-colored head, which is comparatively large compared to its small, cream body, while the tops of its ears, crest, and extremities are all orange. Its bulbous arms and legs are rounded to make a sort of ""cuff"" before ending with small, three-fingered hands and two-toed feet. It has two pointed teeth that can be seen on its upper jaw. It also has two cream winglike tails, which allows it to fly. Though timid, it is a caring Pokémon; it will fight if its friends are in danger."
Snivy,"Snivy is a bipedal, reptilian Pokémon with a slender build. Most of its body is green with a cream underside. A yellow stripe runs down the length of its back and tail and has yellow markings around its large eyes. Two curved yellow structures that resemble leaves or small wings protrude from its shoulders and bend backward. Its slender arms have three fingers, while its tiny feet have no digits. It has a large, palmate leaf with three prongs on the end of its tail."
Servine,"Servine is a slim bipedal Pokémon that is primarily green with a cream underside, and narrow red eyes. It has a yellow V-shaped structure that starts at the chest and extends behind the shoulders. Servine has short limbs and a small crest protruding from the back of its head. Three palmate leaves grow along its back and tail."
Serperior,"Serperior is a primarily pale green, serpentine Pokémon. Its face and throat are white, while its back is dark green. Curled, mint-colored patterns extend into the white portion of its face, and it has narrow red eyes. In the lower jaw, two fangs are visible when its mouth is open. There are two pointed yellow extensions on the back of its head. Coiled, dark green extensions spread out from the sides of its lower neck, forming a curving pattern lower down the body. It has now completely lost the legs from its previous stages and now must slither about due to its new, serpentine form; however, just below its neck, it has two small leaf-like arms on either side of its body, which it usually keeps folded behind its back. It has curved yellow markings around its middle and several palmate leaves on its tail."
Tepig,"Tepig is a quadrupedal, pig-like Pokémon that is primarily orange. It has oval eyes, a red nose, and a thick yellow stripe on its snout. The upper portion of its head is dark brown, and its long, pointed ears are positioned closely together. Tepig has short legs, and its front feet are dark brown. A dark brown band covers its lower back and rear. Its curly tail is tipped with a ruddy red sphere."
Pignite,"Pignite is a bipedal, pig-like Pokémon. Its chubby body is orange with brown bands around its shoulders, sides, belly, hands, and from the back of its head down its snout. Yellow bands encircle its wrists and swirled yellow designs bulge from its chest. It has a red pig-like nose, pointed ears, and two pointed teeth that protrude from its lower jaw. Its hands have two claws each, while its feet have only a single nail. Its tail is curled with a tuft of fur at the tip."
Emboar,"Emboar is a bulky, bipedal Pokémon with pig-like features. It has a red nose, large bushy black eyebrows, and two tusks protruding from its lower jaw. Constantly burning flames cover the front of its neck and shoulders. The fire beard comes from the body flame within its body. It has short legs and thick arms. Its arms have orange upper portions while the legs have red upper portions. All of its limbs have black lower portions with thin yellow lines where the upper and lower colors meet. These lines are straight on the arms and spiked on the legs. The arms have red lines around the wrists and tufts of fur on the elbows. The hands are tipped with three claws, while the feet have two claws. A large, dark horizontal stripe on the chest of Emboar has swirled yellow markings. Its small tail ends in a tuft of hair."
Oshawott,"Oshawott is a bipedal sea otter-like Pokémon. It has a spherical white head with small, triangular dark-blue ears on the sides. Oshawott's eyes are dark, and its dark-orange nose is shaped like a horizontal oval. Several freckles cover its cheeks which may be premature whiskers, and two pointed teeth can be seen when it opens its mouth. The light blue fur on its body forms bubble shapes around its neck. Its arms are white and rounded, while its feet are dark blue with three toes each. It also possesses a rudder-like dark blue tail. It carries a pale yellow seashell called a ""scalchop"" on its belly."
Dewott,"Dewott is a bipedal, otter-like Pokémon that is primarily light blue. It has small black ears, a pointed crest at the back of its head, a red nose, and long white whiskers forming tilted V-shapes. Two pointed teeth are visible in the upper jaw when its mouth is open. Its forelimbs have three fingers on each black paw. Its feet and flat tail are black. Around its waist is a large, dark blue, fringed arrangement of fur, with two scalchops on the thighs."
Samurott,"Samurott is a quadrupedal Pokémon resembling a river otter or sea lion. Its head, dorsal coat, and limbs are royal blue, and its underbelly is a dull bluish-gray. It has pointed canine teeth, and a red nose, and its eyes have white sclera and circular red irises. Long white whiskers resembling mustaches extend from its snout and lower jaw. Samurott possesses three black claws on each limb, and a fin-like tail resembling a war fan. Samurott's head, limbs, and tail are adorned with cream-colored armor resembling seashells. The armor on its head resembles a spiked conch shell. This helmet-like armor is bulbous in the back, and tapers into a spear-like horn in the front. Segmented armor resembling bracers covers each of Samurott's limbs. The forelimbs' bracers contain shell swords called seamitars. The two lower segments of these bracers serve as scabbards for these seamitars, and the upper segment and spike are the seamitars' blade and handle, respectively."
Patrat,"Patrat is a rodent-like Pokémon that resembles a chipmunk. It is mostly brown with a tan stomach and face. It has a large pointed tooth that sticks out of its mouth. Patrat has a flat face, and its cheeks are very round. Patrat has cheek pouches that it uses to store food. Its ears are small and pointed. Its head has a black band that covers the eyes, which have red irises with a yellow ring and black pupils. Its feet are small and black with three toes. Its long tail has a scruffy white tip and is usually standing up straight. This tail is used for communication; its tail is raised when it sees an enemy. Patrat is very conscious and wary regarding its surroundings and is always on guard. The anime depicts Patrat living in tunnels."
Watchog,"Watchog is an upright, meerkat-like Pokémon with large cheeks and a single, pointed incisor sticking out of its mouth. It is mainly reddish-brown with beige cheeks and neck. There is yellow striping on its chest and tail. Its hands, feet, and tail tip are white. Its red eyes have small black pupils and a yellow stripe. Black markings accentuate the eyes at their outer ends. Its tail is almost exclusively depicted standing up straight, although it can also be kept in a relaxed position.[1]"
Lillipup,"Lillipup is a light brown, canine Pokémon. It has oval, brown eyes, a red nose, and its face covered by an abundance of cream fur. This facial fur can be used for radar and provides Lillipup with information about its surroundings. It has large pointed ears with a tuft of fur near the base of each. Its fur puffs out above its paws, and its back has a spiky dark blue blaze. Each paw has three toes, and a blue paw pad that can be seen in Pokédex 3D Pro. It has a short, tufty tail."
Herdier,"Herdier is a light brown, canine Pokémon with a short snout. Its face has long, cream fur, which forms a mustache and a three-pointed crest. Its ears are large and perked, and it has a black nose. It has shaggy dark blue fur covering its body and a short tail. This hard, thick fur serves to protect Herdier from attacks. It has four short legs, with three-toed paws. Each paw has a dark blue paw pad that can be seen in Pokédex 3D Pro."
Stoutland,"Stoutland is a canine Pokémon with a talent for rescuing people lost at sea or in the mountains. On its face, it has cream-colored fur that forms voluminous, white-tipped plumes and a three-pointed crest. The plumes are so long that they run the length of its body and bunch close to it. It has tufty, pointed ears with dark blue insides, a black nose surrounded by short black whiskers, and small eyes that are nearly hidden behind its facial fur. Its body is covered with shaggy fur that is dark blue along the back and grayish-blue toward the legs. Its face and paws are light brown, and each paw has three toes with white claws. Blue paw pads can also be seen on each paw in Pokédex 3D Pro."
Purrloin,"Purrloin is a primarily purple, feline Pokémon. Its head has tufted fur on its ears and cheeks. There are long, tapered violet markings above its green, eyes. It has a diminutive black nose on its creamy muzzle, and a small, oval, cream-colored marking above each eye. Its neck, shoulders, back, and hind paws are also cream-colored. The tip of its tail has a curved, vaguely scythe-like extension. Purrloin is a quadrupedal Pokémon, but it can stand and walk on its hind legs as well."
Liepard,"Liepard is a slender, purple feline Pokémon speckled with yellow rosettes. Its fur patterning is considered attractive to many Trainers. It has a pink ""mask"" marking over its eyes, a pink nose, and small yellow markings over its green eyes. It has two pairs of long yellow whiskers and a tufted yellow underside. Its lower legs are yellow, and each small paw has a pale pink pad that can be seen in Pokédex 3D Pro. It has a long, curving tail with a sickle-like shape toward the tip."
Pansage,"Pansage is a simian, green-and-cream Pokémon. It has oval, black eyes, large ears with light green insides, and a tiny, black nose. There is a broccoli-like sprout atop its head. In the sprout's foliage are three yellow, tapered seed-like shapes. If eaten, the leaves in this sprout can alleviate exhaustion. Its muzzle, upper body, and skinny forelimbs are cream-colored, and its hands seem to have no fingers, aside from a thumb. Pansage's lower body is green with small feet, and its long tail is tipped with two leaves. Pansage dwells deep in the forest, where it collects berries to share with its friends."
Simisage,"Simisage is a simian Pokémon that is primarily green. It has a pointed, bush-like crest on its head similar to a pompadour. The leaves that grow on this crest are bitter. Its ears are broad with light green insides, and it has oval eyes and a black nose. Simisage has furry, white eyebrows and shoulder tufts; and a cream-colored face, chest, hands, and feet. Its hands have five fingers, and its feet have three toes. Its tail is long and tipped with leaves. The tail is lined with tiny, sharp barbs, allowing Simisage to use it as bludgeon weapons. Simisage are prone to violently lash out at people and Pokémon for no reason."
Pansear,"Pansear is a simian, red-and-cream Pokémon. Its head is red with a whorled tuft on top. The tuft contains a flame, and can reach temperatures of 600 °F (300 °C). Pansear has oval eyes, a tiny nose, and large ears with orange insides. Its muzzle, upper body, and skinny forelimbs are cream-colored, and its hands seem to have no fingers, aside from a thumb. Pansear's lower body is red with small feet, and its long tail has an arrowhead-shaped tip. Pansear makes its habitat in both forests and volcanic caves, and has been known to roast berries before eating them."
Simisear,"Simisear is a simian Pokémon that is primarily a bright red color, although its muzzle, chest, upper belly, fingers, and toes are all cream-colored. Its hands have five fingers, and its feet have three toes. Meanwhile, its arms, legs, and lower belly, along with the rest of its head, hands, and feet, are all red. Its upper and lower belly are separated in color at the midsection by a red spike pattern extending upward from its legs. It has large oval eyes and a small black nose, and its ears are broad with orange insides. On its head is a swirled, flame-like red tuft with a smaller tuft on either side; its fluffy, swirled tail resembles a flame as well. Simisear has white, fluffy shoulder ruffs that resemble smoke."
Panpour,"Panpour is a simian, blue-and-cream Pokémon. It has oval eyes that are usually seen closed, large ears with light blue insides, and a tiny, black nose. There is a puffy, wave-like crest on top of its head. Nutrient-rich water is stored in this crest. It also possesses a blue, frilled-like feature on its neck and upper shoulders. Its muzzle, lower body, and skinny forelimbs are cream-colored, and its hands seem to have no fingers, aside from a thumb. Its small feet both have three toes each. Its long tail has a clover-shaped tip. Panpour can keep itself damp or water plants by spraying water from its tail. It is mostly found near water sources."
Simipour,"Simipour is a simian Pokémon that is primarily blue. Its ears are broad with light blue insides, and it has oval eyes and a small black nose. There are several tufts of fur on its head, which resemble dreadlocks. These tufts can store water, which it collects with its tail. Simipour has a white marking around its neck that resembles a ruff; and a cream-colored face, hands, arms, legs, and feet. Its hands have five fingers, and its feet have three toes. Its tail is tipped with a blue plume, resembling a spout of water. This tail can shoot water at such high pressure that it can destroy a concrete wall. Simipour prefers to live near clean water."
Munna,"Munna is a pink, nearly spherical, quadrupedal Pokémon of indefinable basis. It has four tiny tapered limbs and a tapered snout that largely obscures its sizable mouth. Munna has shiny, oval, red eyes with two discernible upper eyelashes. Between its eyes is an oval spot in a darker shade of pink, from which Munna can expel Dream Mist. Purple, five-petal flower markings with dark pink centers ornament much of its body, which glow faintly when it feeds on dreams. It is able to constantly float in the air."
Musharna,"Musharna is a rounded, bipedal Pokémon that has a tapir-like trunk. Its body is light purple, while its head is a pale pink. It has oval, red eyes with three eyelashes and dark pink ovals on its forehead and cheeks. Its eyes are normally closed, but open when Musharna falls asleep. The tips of its four stubby limbs are dark pink. Dream Mist seeps out of the mark on its forehead."
Pidove,"Pidove is a mainly gray, pigeon-like Pokémon. It has golden, oval eyes and a tuft of feathers atop its rounded head. It has a short, black beak with a bulbous pink cere, and a black patch on the nape of its neck. There is a wide, heart-shaped area of lighter coloration on its chest. Pidove's black wings have a thick gray stripe down the side. It has pink feet with black talons."
Tranquill,"Tranquill is a gray avian Pokémon with lighter gray and black markings. Its beak and eyes are yellow, and there is a dark pink marking above its beak that curves over the eyes. It has a black tuft of two feathers on its head and a petal-like arrangement of feathers on the nape of its neck. There is a black stripe on each of its light gray, black-tipped wings. Each of its pink feet has black talons. It possesses a long tail feather that is tipped in black."
Unfezant,"Unfezant is a Pokémon resembling a game bird. It is primarily dark gray with lighter gray markings. The light gray markings consist of a heart-shaped patch covering its face and throat, two patches divided by a lacy line on its wings, and intricate stripes with dark rimming on its tail feather. Its beak and eyes are yellow, and it has light gray legs with three clawed toes and a spur on the ankle."
Blitzle,"Blitzle is a black, zebra-like Pokémon with thick, double-pointed white stripes on its neck, chest, back, and hind legs. It has a rounded muzzle with a large, dark nose and oval, blue eyes with yellow sclerae. On top of its head are short, triangular ears with blue insides. Below the knees, its legs are white with black hooves. Its tail is stubby, white, and has two points. Running up its neck is a spiky, white mane, which culminates at the front in a long extension that resembles a lightning bolt."
Zebstrika,"Zebstrika is a zebra-like Pokémon. Its coat is black with white, jagged stripes all over its body. There is one pointed stripe extending from its nose, two elaborate stripes on its neck and chest, one zigzag stripe each on its jaws, back, and hindquarters, one triangular stripe on each of its thighs, and two stripes banding each of its legs. Its ears are triangular with blue insides, while its eyes are blue with yellow sclerae and white eyelashes. Its nose is black, and its hooves are gray. A white, spiked mane runs the length of its body, beginning with two horn-like extensions on its forehead and running down its back to end in a long tail with a starburst-shaped tip."
Roggenrola,"Roggenrola is a roughly spherical rock-like Pokémon. Its body is blue and covered in large, smooth facets. It has a hexagonal, yellow artifice in the center of its body, leading to a hexagonal opening that functions as an ear. Roggenrola has a brown, rocky oblong atop its head and similar brown rocks that serve as feet."
Boldore,"Boldore is a blue, rock-like Pokémon with an array of red crystals on its back and front, and a spine protruding from between its yellow ears. Rocky chunks at its sides comprise pincer-like limbs, tipped with red crystals similar to the ones on its back. Its orange crystals, which are tough enough to break diamonds, are the hardened form of its endlessly leaking energy."
Gigalith,"Gigalith is a blue, quadrupedal Pokémon, with various spiny, red-orange, crystalline features jutting out from all over its body; two appear along its back, one on its chest, and one topping each of its four feet. Each foot also bears two claws of a similar appearance and is connected to the body by gray joints. The yellow, front-facing ears of its previous evolutionary relatives are now filled in with red and appear to have become full-fledged eyes. Several of the aforementioned red crystals also appear on its face; three below its eyes, one in the middle resembling a crest, and two other crystals connected to the sides of its head."
Woobat,"Woobat is a blue, spherical Pokémon, resembling a Honduran White Bat. It is covered in shaggy fur and has a large, piggish nose with a heart-shaped nostril. Two tufts of shaggy fur hide its eyes, and its mouth has a single fang in the center of its upper jaw. There are two relatively small, black wings on either side of its body."
Swoobat,"Swoobat is a blue, bat-like Pokémon. It has fused, pointed ears with striated, lighter-colored insides and a pink, heart-shaped snout with a single nostril. Two wide, rounded teeth are visible in its lower jaw. A mane of shaggy, light blue fur surrounds its neck. Its black wings have a claw at the joint, and its small black feet have three toes each. It has a bare, pink tail that is twisted with two short prongs at the tip."
Drilbur,"Drilbur is a mole-like Pokémon that has a short, wide body with two small, ovoid feet with three toes each. Its body is mostly black, but has a jagged, navy blue stripe that runs diagonally around its torso from its left shoulder. It is connected at the bottom to another stripe, which extends around the base of its torso. It has a white face with a long snout, tipped by its pink nose. Its eyes are at the base of its nose on either side. Drilbur's arms are wide and thin with a blue spot on its palms. It lacks traditional hands, as its arms form directly into its three, extremely large claws. It has a very small, stubby tail."
Excadrill,"Excadrill is a bipedal, mole-like Pokémon with a dark-brown body with diagonal, red splotches. Three markings are on its front, resembling scratch marks, with two under each arm, and two on its back. It has short legs with small, narrow feet, each containing three toes. Its small white face is long and thin, tipped by its pink nose. Its eyes are set back, on either side of the bridge of the nose. Under them, on each side, are two thin, red stripes. A large blade roughly twice as large as its face extends from its forehead. The top of the blade contains two smaller blades, resembling fins. Its arms are thick and have three large blades instead of fingers, with two smaller blades on top of the middle ones. On its knees, halfway down its arm, and just behind where its forehead meets its face, are small red spots."
Audino,"Audino is a bipedal, pink-and-cream Pokémon with oval, blue eyes. The top of its head, its back, and arms are pink, while the lower half of its face, body, ears are cream-colored, as well as its front and fingers. The patterning of pink and cream on its chest resembles a jacket. There are three digits on its hands and two on its feet. It has a puffy, white tuft for a tail. Audino has floppy ears with thin, curled extensions on the underside. It can use these ears as radars, and it has an incredible hearing ability."
Timburr,"Timburr is a gray bipedal Pokémon with a dark purple nose and dark-gray oval-shaped eyes. It has bulbous protrusions extending from the front and lower parts of its head. Pink, vein-like bulges are present on the back of its head. Similar pink bands adorn its shoulders and thighs."
Gurdurr,"Gurdurr is a gray bipedal Pokémon with a large, round dark-red nose. It has bulbous features, resembling curls of ""hair"", on its head. Violet bulges resembling swelling veins pattern its muscular, large arms, thighs, and chest, and similar thick violet bands adorn its shoulders. It possesses an hourglass shape."
Conkeldurr,"Conkeldurr is a bipedal sepia-colored Pokémon resembling an ogre. Its nose is large and red, with its face also having a prominent brow, a wide mouth, a gray tuft on its chin, dark rings around its eyes, and a bulbous feature sticking up from the back of its head. Thick violet bands and tendons adorn its shoulders, chest, back, and thighs."
Tympole,"Tympole is a round, tadpole-like Pokémon with a tan, circular face. It has large, oval, black eyes; a wide mouth with down-turned corners; and black eyebrows in the shape of quarter notes. Its spherical body is black with no visible limbs. Instead, it has two black-and-blue ringed cheeks akin to half-spheres on either side of its head. It has a long, blue tail with a fan-like shape and a black spot at its base."
